11/18/1996,"Acquisto (con benzina)",0," --","5,600.00",50.0,,,
11/18/1996,"Ripresa Peugeot (scalato su Peugeot)",0," --","1,000.00"," --",,,
11/18/1996,"Cauzione + 1a rata",0," --",964.35," --",,,
11/18/1996,"Diff. circolazione + tasse",0,71.10," --"," --",,,
11/24/1996,"Benzina",474,40.00," --",32.8,,,
11/30/1996,"Benzina",889,40.00," --",32.8,,,
12/4/1996,"Servizio 1'000 km","1,176",87.35," --"," --",,,
12/5/1996,"Benzina","1,262",40.00," --",32.4,,,
12/12/1996,"Benzina","1,591",40.00," --",32.3,,,
12/13/1996,"2a rata","1,600"," --",464.35," --",,,
12/16/1996,"Benzina","1,968",40.00," --",32.8,,,
12/21/1996,"Benzina","2,364",40.00," --",32.4,,,
12/29/1996,"Assicurazione 1° sem. 97","2,500",664.50," --"," --",,,
1/4/1997,"Benzina","2,704",40.00," --",32.8,,,
1/13/1997,"Benzina","3,096",40.00," --",33.3,,,
1/15/1997,"3a rata","3,200"," --",464.35," --",,,
1/18/1997,"Benzina","3,485",40.00," --",31.9,,,
1/27/1997,"Benzina","3,888",40.00," --",32.1,,,
1/30/1997,"Benzina","4,272",40.00," --",31.6,,,
1/31/1997,"Circolazione 97","4,300",351.00," --"," --",,,
2/6/1997,"Benzina","4,700",40.00," --",31.6,,,
2/10/1997,"Benzina","5,104",40.00," --",31.6,,,
2/14/1997,"4a rata","5,300"," --",464.35," --",,,
2/17/1997,"Benzina","5,471",40.00," --",31.6,,,
2/22/1997,"Benzina","5,889",40.00," --",31.6,,,
3/3/1997,"Benzina","6,276",40.00," --",32.1,,,
3/10/1997,"Benzina","6,762",40.00," --",32.1,,,
3/14/1997,"5a rata","6,900"," --",464.35," --",,,
3/17/1997,"Benzina","7,171",40.00," --",32.1,,,
3/24/1997,"Benzina","7,551",40.00," --",32.1,,,
3/25/1997,"Servizio 7'500 km","7,587"," --"," --"," --",,,
4/3/1997,"Benzina","7,892",40.00," --",31.4,,,
4/9/1997,"Benzina","8,330",40.00," --",33.2,,,
4/15/1997,"6a rata","8,750"," --",464.35," --",,,
4/16/1997,"Benzina","8,766",40.00," --",32.4,,,
4/27/1997,"Benzina","9,143",40.00," --",33.1,,,
4/27/1997,"Lavaggio","9,166",6.50," --"," --",,,
5/3/1997,"Benzina","9,557",40.00," --",33.1,,,
5/10/1997,"Benzina","9,958",40.00," --",34.5,,,
5/15/1997,"7a rata","10,100"," --",464.35," --",,,
5/21/1997,"Benzina","10,352",40.00," --",32.7,,,
5/29/1997,"Benzina","10,836",40.00," --",33.1,,,
6/8/1997,"Benzina","11,197",40.00," --",32.3,,,
6/13/1997,"Benzina","11,665",40.00," --",32.3,,,
6/15/1997,"8a rata","11,750"," --",464.35," --",,,
6/20/1997,"Benzina","12,019",40.00," --",32.3,,,
6/25/1997,"Benzina","12,491",40.00,,32.8,,,
