2/22/1990,"Acquisto",0,"16,830.00",," --",,,
3/5/1990,"Circolazione (quota parte '90)",0,218.30,," --",,,
3/5/1990,"Benzina",0,40.00,,40.4,,,
3/15/1990,"Benzina",460,20.00,,20.2,,,
3/15/1990,"Vignetta 90",460,30.00,," --",,,
3/16/1990,"Benzina",545,24.50,,26.1,,,
3/23/1990,"Benzina","1,084",200.00,,35.0,,,
3/24/1990,"Servizio 1000 km","1,134",71.50,," --",,,
3/30/1990,"Benzina","1,508",20.00,,20.2,,,
4/3/1990,"Benzina","1,808"," --",,30.0,,,
4/5/1990,"Benzina","2,195",30.00,,30.3,,,
4/12/1990,"Benzina","2,601"," --",,30.0,,,
4/17/1990,"Benzina","2,976",20.00,,20.2,,,
4/19/1990,"Benzina","3,241"," --",,30.0,,,
4/23/1990,"Benzina","3,652",20.00,,20.2,,,
4/25/1990,"Benzina","3,934"," --",,40.0,,,
4/29/1990,"Benzina","4,514",30.00,,29.7,,,
4/30/1990,"Assicurazione (quota parte '90)","4,562",272.75,," --",,,
5/5/1990,"Benzina","4,966",30.00,,30.3,,,
5/11/1990,"Benzina","5,313",200.00,,30.0,,,
5/14/1990,"Benzina","5,743",20.00,,20.2,,,
5/22/1990,"Benzina","6,031"," --",,30.0,,,
5/28/1990,"Benzina","6,440"," --",,30.0,,,
5/31/1990,"Assicurazione 2° sem. 90",,489.60,," --",,,
6/6/1990,"Benzina","6,894"," --",,30.0,,,
6/15/1990,"Benzina","7,273"," --",,30.0,,,
6/20/1990,"Servizio 7500 km","7,530",89.50,," --",,,
6/22/1990,"Benzina","7,678"," --",,30.0,,,
6/28/1990,"Benzina","8,131",20.00,,20.6,,,
7/4/1990,"Benzina","8,386"," --",,30.0,,,
7/5/1990,"Multa carburante autostrada","8,434",200.00,," --",,,
7/13/1990,"Benzina","8,798"," --",,35.0,,,
7/18/1990,"Benzina","9,242"," --",,30.0,,,
7/26/1990,"Benzina","9,720",20.00,,19.8,,,
7/31/1990,"Benzina","9,945"," --",,39.0,,,
8/16/1990,"Benzina","10,431",30.00,,29.5,,,
8/26/1990,"Benzina","10,846",20.00,,18.5,,,
8/30/1990,"Benzina","11,140"," --",,20.0,,,
9/3/1990,"Benzina","11,397"," --",,21.0,,,
9/7/1990,"Benzina","11,648"," --",,20.0,,,
9/14/1990,"Benzina","11,891",200.00,,30.0,,,
9/19/1990,"Benzina","12,314"," --",,20.0,,,
9/28/1990,"Benzina","12,598"," --",,17.1,,,
9/30/1990,"Benzina","12,811"," --",,30.0,,,
10/7/1990,"Benzina","13,113",30.00,,30.0,,,
10/13/1990,"Benzina","13,631",10.00,,8.3,,,
10/15/1990,"Benzina","13,708"," --",,20.0,,,
10/22/1990,"Benzina","13,957"," --",,30.0,,,
10/24/1990,"Benzina","14,392"," --",,20.0,,,
10/31/1990,"Benzina","14,632"," --",,40.0,,,
11/3/1990,"Servizio 15'000 km","14,826",273.00,," --",,,
11/8/1990,"Benzina","15,115",30.00,,27.5,,,
11/14/1990,"Benzina","15,543",200.00,,30.0,,,
11/20/1990,"Benzina","15,936"," --",,30.0,,,
11/27/1990,"Benzina","16,355"," --",,30.0,,,
11/30/1990,"Gomme neve (4 pezzi)","16,633",440.00,," --",,,
12/1/1990,"Benzina","16,736",30.00,,29.1,,,
12/4/1990,"Benzina","17,101",20.00,,19.5,,,
12/6/1990,"Lavaggio","17,244",6.00,," --",,,
12/8/1990,"Benzina","17,392",30.00,,30.3,,,
12/14/1990,"Benzina","17,717"," --",,30.0,,,
12/22/1990,"Benzina","18,130",30.00,,31.2,,,
12/24/1990,"Lavaggio","18,251",6.00,," --",,,
12/27/1990,"Assicurazione 1° sem 91"," --",489.60,," --",,,
1/2/1991,"Benzina","18,513",20.00,,19.8,,,
1/9/1991,"Benzina","18,777"," --",,40.0,,,
1/15/1991,"Benzina","19,279"," --",,40.0,,,
